Country,January,February,March,April,May
Afghanistan,0,0,5,260,310
Albania,0,0,52,470,488
Algeria,0,0,46,1779,1821
Andorra,0,0,10,468,468
Angola,0,0,1,7,11
Antigua and Barbuda,0,0,0,11,15
Argentina,0,0,240,1256,1292
Armenia,0,0,30,929,977
Australia,2,11,358,5742,5775
Austria,0,0,1095,12907,13110
Azerbaijan,0,0,26,1325,1365
The Bahamas,0,0,1,25,24
Bahrain,0,0,295,1500,1555
Bangladesh,0,0,25,160,174
Barbados,0,0,0,39,39
Belarus,0,0,47,2386,2918
Belgium,0,1,1696,11576,11892
Belize,0,0,0,9,13
Benin,0,0,1,33,42
Bhutan,0,0,0,5,5
Bolivia,0,0,0,117,134
Bosnia and Herzegovina,0,0,17,727,755
Botswana,0,0,0,5,8
Brazil,0,0,127,35935,38039
Brunei,0,0,45,124,124
Bulgaria,0,0,17,266,276
Burkina Faso,0,0,32,506,517
Myanmar,0,0,0,27,31
Burundi,0,0,0,4,4
Cabo Verde,0,0,0,4,18
Cambodia,0,1,23,119,120
Cameroon,0,0,5,934,934
Canada,0,6,1592,21424,22764
Central African Republic,0,0,0,10,10
Chad,0,0,0,33,33
Chile,0,0,156,8580,9018
China,214,39320,76206,78523,78573
Colombia,0,0,31,1439,1551
Comoros,0,0,0,0,0
Republic of the Congo,0,0,0,19,25
Democratic Republic of the Congo,0,0,2,73,75
Costa Rica,0,0,4,338,355
Ivory Coast,0,0,7,574,597
Croatia,0,0,67,1348,1421
Cuba,0,0,8,681,714
Cyprus,0,0,23,296,296
Czech Republic,0,0,45,3314,3372
Denmark,0,0,199,16796,17220
Diamond Princess,0,10,603,645,645
Djibouti,0,0,0,642,672
Dominica,0,0,0,13,13
Dominican Republic,0,0,5,1301,1387
Ecuador,0,0,54,1558,1913
Egypt,0,1,157,1381,1460
El Salvador,0,0,0,119,124
Equatorial Guinea,0,0,1,9,9
Eritrea,0,0,0,26,26
Estonia,0,0,26,249,253
Eswatini,0,0,0,12,12
Ethiopia,0,0,2,59,66
Fiji,0,0,0,12,12
Finland,0,1,10,3000,3000
France,0,12,9513,50380,51124
Gabon,0,0,0,67,67
Gambia,0,0,0,8,8
Georgia,0,0,21,184,207
Germany,0,16,16100,123500,126900
Ghana,0,0,31,212,212
Greece,0,0,52,1374,1374
Grenada,0,0,0,13,13
Guatemala,0,0,12,66,72
Guinea,0,0,0,329,342
Guinea Bissau,0,0,0,19,19
Guyana,0,0,0,22,22
Haiti,0,0,1,8,10
Holy See,0,0,0,2,2
Honduras,0,0,3,79,112
Hungary,0,0,37,581,609
Iceland,0,0,198,1670,1689
India,0,3,123,9068,10007
Indonesia,0,0,81,1522,1591
Iran,0,123,14656,75103,76318
Iraq,0,0,170,1375,1414
Ireland,0,0,5,13386,13386
Israel,0,1,224,8561,9156
Italy,0,46,15729,75945,78249
Jamaica,0,0,2,29,31
Japan,1,32,424,2460,2975
Jordan,0,0,30,362,364
Kazakhstan,0,0,24,866,922
Kenya,0,0,1,144,150
South Korea,0,27,5408,9072,9123
Kosovo,0,0,6,271,271
Kuwait,0,0,73,1539,1602
Kyrgyzstan,0,0,3,462,504
